x,y,z,r,g,b
50.8168,71.0364,-0.5345,0.8,0.8,0.8
53.7416,80.4768,-1.2822,0.8,0.8,0.8
50.6779,77.6123,3.5609,0.8,0.8,0.8
48.2219,70.2388,4.5795,0.8,0.8,0.8
48.7969,76.7535,4.2388,0.8,0.8,0.8
55.478,73.2234,-0.4435,0.8,0.8,0.8
52.6,76.4276,4.8418,0.8,0.8,0.8
52.0432,85.6861,-1.2879,0.8,0.8,0.8
46.9161,70.8333,4.8811,0.8,0.8,0.8
51.3485,84.1695,1.0707,0.8,0.8,0.8
45.7088,76.116,2.5603,0.8,0.8,0.8
54.8856,75.7327,-1.3001,0.8,0.8,0.8
53.4214,71.5315,-1.0128,0.8,0.8,0.8
53.199,73.8017,6.7978,0.8,0.8,0.8
49.3238,70.465,1.007,0.8,0.8,0.8
47.4359,69.9718,4.2347,0.8,0.8,0.8
52.5331,74.2278,8.7257,0.8,0.8,0.8
55.1676,75.1609,4.1347,0.8,0.8,0.8
50.2719,75.8408,2.5948,0.8,0.8,0.8
54.8967,72.2668,-0.1952,0.8,0.8,0.8
51.155,73.0932,8.7232,0.8,0.8,0.8
48.407,70.3421,8.3375,0.8,0.8,0.8
54.9889,72.928,3.1603,0.8,0.8,0.8
48.6414,72.1945,8.7268,0.8,0.8,0.8
48.9539,77.0982,0.3406,0.8,0.8,0.8
48.6098,75.2026,0.1593,0.8,0.8,0.8
51.4708,85.1322,3.2162,0.8,0.8,0.8
53.0273,83.5362,3.4043,0.8,0.8,0.8
49.2712,73.7331,8.2101,0.8,0.8,0.8
50.9299,77.6933,1.7733,0.8,0.8,0.8
56.5838,82.8988,0.1973,0.8,0.8,0.8
52.0515,71.1849,0.395,0.8,0.8,0.8
50.7001,70.3949,-0.0637,0.8,0.8,0.8
52.5016,87.9507,3.4284,0.8,0.8,0.8
52.8252,77.4105,-1.0177,0.8,0.8,0.8
58.62,73.3546,0.2113,0.8,0.8,0.8
57.1328,79.7983,3.8655,0.8,0.8,0.8
51.9728,72.1446,8.7247,0.8,0.8,0.8
51.7269,71.3852,1.4191,0.8,0.8,0.8
55.3885,74.3784,-0.7582,0.8,0.8,0.8
52.8626,71.6286,5.9866,0.8,0.8,0.8
52.0707,74.8744,8.376,0.8,0.8,0.8
46.5146,73.3375,5.1329,0.8,0.8,0.8
